province,region,avg_within,avg_between,sd_within,sd_between,depriv,rpc,blood,assoc,referendum
napoli,CAMPANIA,0.830618441,0.7868642,0.105910057,0.106647597,38.8,17057.58178,17.3,22.59,0.68
bari,PUGLIA,0.688632393,0.681153448,0.148923455,0.105102696,43,16310.41629,30.3,26.78,0.71
caltanissetta,SICILIA,0.776855242,0.68386841,0.11222385,0.080128462,50.2,14009.15781,25.4,18.42,0.68
syracuse,SICILIA,0.660090268,0.635760618,0.131038154,0.111132448,50.2,15265.2681,27.7,26.02,0.71
benevento,CAMPANIA,0.823766527,0.737130651,0.135661458,0.117280171,38.8,14207.72413,14.3,18.06,0.67
palermo,SICILIA,0.721431724,0.666717804,0.106501438,0.107066685,50.2,16795.9828,43.3,27.14,0.66
campobasso,MOLISE,0.695355457,0.624006147,0.135007299,0.108365168,31.6,14694.1036,26.2,15.65,0.7
roma,LAZIO,0.697150693,0.669811918,0.10704767,0.120916593,18.1,23196.95227,26.1,52.63,0.8
siena,TOSCANA,0.727522665,0.630757446,0.132262623,0.103536481,12.5,20063.902,60.6,79.51,0.9
ravenna,EMILIA-ROMAGNA,0.566023484,0.584055805,0.117335545,0.108356254,14.1,19546.24051,13,33.01,0.64
ferrara,EMILIA-ROMAGNA,0.535873514,0.490254637,0.096762851,0.091771875,14.1,18919.66564,57.6,44.45,0.92
modena,EMILIA-ROMAGNA,0.563076147,0.534128513,0.107928488,0.120392064,14.1,21224.49342,55.4,41.55,0.9
venezia,VENETO,0.552078249,0.564261325,0.123582236,0.104629943,12.1,20132.44379,50.2,35.72,0.86
torino,PIEMONTE,0.654412122,0.628335069,0.097894503,0.101523827,12.2,21493.10853,55.3,39.56,0.83
asti,PIEMONTE,0.705643235,0.605484728,0.110634018,0.113944255,12.2,18677.72247,53.7,48.97,0.82
milano,LOMBARDIA,0.593866814,0.61707291,0.109035787,0.103031436,16.4,26403.40803,43.1,33.05,0.85
